id_viagem,id_data,id_veiculo,id_motorista,id_cliente,id_rota,id_filial,peso_ton,valor_frete,km_rodado,tempo_previsto_h,tempo_realizado_h,status_entrega,ocorrencia
43,20240105,29,1,18,3,1,10.3,3414.26,590,9.5,10.5,Atrasado,Nenhuma
44,20240105,4,22,16,19,1,4.8,1585.38,300,4.8,4.9,No Prazo,Atraso em Carga/Descarga
45,20240105,18,4,5,12,3,36.1,2703.96,590,9.5,9.5,No Prazo,Nenhuma
46,20240105,4,1,14,16,1,5.5,1577.15,315,5.1,5.1,No Prazo,Nenhuma
47,20240105,10,18,14,5,2,22.3,6012.5,1370,22.1,22.5,No Prazo,Nenhuma
48,20240106,28,15,24,2,1,49.3,1737.84,410,6.6,6.1,No Prazo,Nenhuma
49,20240106,37,30,25,7,1,22.6,948.08,210,3.4,3.4,No Prazo,Nenhuma
50,20240106,26,1,11,15,1,12.2,1264.7,210,3.4,3.4,No Prazo,Atraso em Carga/Descarga
51,20240107,12,13,21,10,5,9.0,4048.54,930,15.0,14.1,No Prazo,Nenhuma
52,20240107,4,2,1,11,1,5.5,2210.65,410,6.6,8.1,Atrasado,Nenhuma
53,20240107,2,28,10,12,5,4.3,2797.95,590,9.5,9.3,No Prazo,Nenhuma
54,20240107,42,28,25,11,5,5.7,2274.37,410,6.6,6.3,No Prazo,Nenhuma
55,20240108,27,28,7,4,5,47.6,2325.9,550,8.9,11.4,Atrasado,Nenhuma
56,20240108,8,6,20,10,1,9.4,4693.79,930,15.0,15.7,No Prazo,Nenhuma
57,20240108,10,8,16,7,2,25.0,1243.78,210,3.4,3.3,No Prazo,Nenhuma
58,20240108,41,3,4,20,3,24.6,4527.38,930,15.0,14.6,No Prazo,Nenhuma
59,20240108,19,17,19,11,5,22.7,1698.99,410,6.6,6.7,No Prazo,Trânsito/Rota
60,20240108,26,30,29,8,1,13.0,3936.68,930,15.0,13.9,No Prazo,Nenhuma
61,20240108,9,26,24,10,2,31.4,4657.36,930,15.0,14.3,No Prazo,Nenhuma
62,20240108,38,13,20,12,5,40.8,3399.82,590,9.5,9.5,No Prazo,Pane Mecânica
63,20240108,41,5,5,13,3,32.7,6095.41,1370,22.1,21.0,No Prazo,Trânsito/Rota
64,20240108,3,29,8,12,5,3.9,3531.43,590,9.5,9.9,No Prazo,Nenhuma
65,20240108,11,4,29,7,3,5.3,1022.53,210,3.4,3.3,No Prazo,Nenhuma
66,20240108,22,25,9,15,2,9.5,1125.52,210,3.4,3.2,No Prazo,Nenhuma
67,20240108,42,17,15,20,5,5.7,4527.91,930,15.0,13.8,No Prazo,Nenhuma
68,20240109,28,2,17,20,1,47.4,5154.43,930,15.0,14.7,No Prazo,Nenhuma
69,20240109,7,13,21,8,5,5.4,4661.34,930,15.0,21.6,Atrasado,Nenhuma
70,20240109,35,5,13,4,3,4.5,3119.86,550,8.9,8.7,No Prazo,Trânsito/Rota
71,20240109,25,17,8,8,5,10.5,5721.86,930,15.0,14.1,No Prazo,Atraso em Carga/Descarga
72,20240109,26,6,23,3,1,9.1,3441.94,590,9.5,9.8,No Prazo,Nenhuma
73,20240109,18,7,28,14,3,55.0,3170.59,800,12.9,18.6,Atrasado,Nenhuma
74,20240109,7,29,6,17,5,5.5,464.54,100,1.6,1.5,No Prazo,Nenhuma
75,20240109,4,30,4,16,1,5.2,1680.96,315,5.1,5.3,No Prazo,Nenhuma
76,20240109,41,33,2,1,3,30.2,2204.12,430,6.9,6.6,No Prazo,Nenhuma
77,20240109,14,13,20,3,5,3.8,3606.99,590,9.5,8.9,No Prazo,Nenhuma
78,20240109,31,30,14,4,1,41.0,2234.62,550,8.9,8.6,No Prazo,Nenhuma
79,20240109,15,11,13,15,1,39.8,1041.54,210,3.4,3.2,No Prazo,Nenhuma
80,20240109,12,29,8,20,5,10.5,5013.04,930,15.0,14.3,No Prazo,Nenhuma
81,20240110,29,15,18,6,1,9.8,3378.31,800,12.9,17.1,Atrasado,Nenhuma
82,20240110,2,35,23,4,5,4.7,2631.76,550,8.9,8.7,No Prazo,Nenhuma
83,20240110,5,1,22,3,1,34.7,2602.51,590,9.5,9.0,No Prazo,Nenhuma
84,20240110,20,13,24,9,5,5.0,11492.25,1960,31.6,41.6,Atrasado,Nenhuma
85,20240110,24,32,18,3,4,47.1,3261.98,590,9.5,9.5,No Prazo,Nenhuma
86,20240110,33,15,30,10,1,26.0,4434.1,930,15.0,14.5,No Prazo,Nenhuma
87,20240110,40,23,17,4,4,11.9,3025.11,550,8.9,9.2,No Prazo,Nenhuma
88,20240110,34,16,24,5,2,5.8,7150.45,1370,22.1,22.0,No Prazo,Nenhuma
89,20240110,24,24,22,17,4,36.3,476.16,100,1.6,1.5,No Prazo,Nenhuma
90,20240110,23,36,1,4,4,5.9,2920.55,550,8.9,10.3,Atrasado,Pane Mecânica
91,20240110,10,16,4,12,2,21.4,3402.67,590,9.5,8.9,No Prazo,Atraso em Carga/Descarga
92,20240111,8,2,1,11,1,12.6,1883.03,410,6.6,6.4,No Prazo,Trânsito/Rota
93,20240111,20,37,22,17,5,4.9,420.85,100,1.6,1.5,No Prazo,Nenhuma
94,20240111,6,12,20,5,5,12.6,6204.48,1370,22.1,21.4,No Prazo,Nenhuma
95,20240111,40,36,8,3,4,11.0,3246.8,590,9.5,9.5,No Prazo,Nenhuma
96,20240111,33,6,25,7,1,23.1,1064.98,210,3.4,3.2,No Prazo,Nenhuma
97,20240111,11,4,28,2,3,3.7,2362.48,410,6.6,6.5,No Prazo,Nenhuma
98,20240111,10,25,29,7,2,20.2,1263.95,210,3.4,3.4,No Prazo,Nenhuma
99,20240111,19,12,17,10,5,35.3,5129.47,930,15.0,15.6,No Prazo,Nenhuma
100,20240112,12,29,28,18,5,10.5,2834.41,550,8.9,9.8,Atrasado,Nenhuma
101,20240112,7,35,8,2,5,4.9,2408.04,410,6.6,6.2,No Prazo,Nenhuma
102,20240112,17,28,14,7,5,13.1,1057.07,210,3.4,3.4,No Prazo,Nenhuma
103,20240112,11,33,23,10,3,5.5,4071.11,930,15.0,13.9,No Prazo,Nenhuma
104,20240112,33,15,23,10,1,18.4,4334.54,930,15.0,14.1,No Prazo,Trânsito/Rota
105,20240112,25,35,19,11,5,8.4,2265.09,410,6.6,6.3,No Prazo,Nenhuma
106,20240112,38,12,29,1,5,49.3,1689.54,430,6.9,8.0,Atrasado,Nenhuma
107,20240112,39,36,25,2,4,18.1,1755.48,410,6.6,6.7,No Prazo,Nenhuma
108,20240112,10,14,14,14,2,24.6,3893.91,800,12.9,13.5,No Prazo,Nenhuma
109,20240112,20,28,7,7,5,5.5,1208.95,210,3.4,3.6,No Prazo,Nenhuma
110,20240112,17,34,20,18,5,11.1,2717.76,550,8.9,9.2,No Prazo,Nenhuma
111,20240112,27,17,23,19,5,36.0,1506.0,300,4.8,4.8,No Prazo,Nenhuma
112,20240112,31,2,29,3,1,41.6,3544.71,590,9.5,9.5,No Prazo,Nenhuma
113,20240112,2,17,5,19,5,5.3,1741.09,300,4.8,6.4,Atrasado,Nenhuma
114,20240113,30,24,11,19,4,54.4,1510.24,300,4.8,4.9,No Prazo,Nenhuma
115,20240113,28,11,21,6,1,41.3,3821.32,800,12.9,12.7,No Prazo,Nenhuma
116,20240113,25,34,12,8,5,8.9,4677.23,930,15.0,14.1,No Prazo,Nenhuma
117,20240113,38,17,5,2,5,56.0,2150.91,410,6.6,6.8,No Prazo,Atraso em Carga/Descarga
118,20240114,21,30,2,12,1,35.0,3375.03,590,9.5,9.2,No Prazo,Nenhuma
119,20240114,12,12,25,6,5,9.6,4154.92,800,12.9,13.3,No Prazo,Nenhuma
120,20240114,1,7,3,16,3,12.7,1682.57,315,5.1,7.3,Atrasado,Pane Mecânica
121,20240114,1,7,1,6,3,11.8,4049.79,800,12.9,17.8,Atrasado,Nenhuma
122,20240115,41,4,8,5,3,26.2,7915.2,1370,22.1,20.9,No Prazo,Nenhuma
123,20240115,20,37,11,10,5,5.2,4013.08,930,15.0,16.4,Atrasado,Nenhuma
124,20240115,33,27,25,4,1,20.3,2629.76,550,8.9,8.6,No Prazo,Atraso em Carga/Descarga
125,20240115,41,33,8,11,3,31.0,2286.6,410,6.6,7.1,Atrasado,Nenhuma
126,20240115,22,38,17,7,2,10.9,1038.77,210,3.4,3.2,No Prazo,Nenhuma
127,20240115,39,23,13,13,4,19.9,5986.1,1370,22.1,21.8,No Prazo,Nenhuma
128,20240115,25,17,27,16,5,9.6,1796.87,315,5.1,5.3,No Prazo,Nenhuma
129,20240115,27,17,3,4,5,51.6,2452.77,550,8.9,8.7,No Prazo,Nenhuma
130,20240116,4,6,13,10,1,5.3,4843.93,930,15.0,16.3,Atrasado,Trânsito/Rota
131,20240116,11,31,13,19,3,3.7,1286.8,300,4.8,6.2,Atrasado,Nenhuma
132,20240116,28,15,14,2,1,50.4,1924.58,410,6.6,6.4,No Prazo,Pane Mecânica
133,20240116,29,15,17,16,1,11.9,1863.48,315,5.1,5.3,No Prazo,Nenhuma
134,20240116,26,6,15,14,1,11.7,4026.4,800,12.9,12.4,No Prazo,Nenhuma
135,20240116,20,29,13,11,5,4.0,1994.58,410,6.6,6.8,No Prazo,Nenhuma
136,20240116,6,28,17,11,5,12.5,2390.49,410,6.6,6.2,No Prazo,Nenhuma
137,20240116,29,6,2,8,1,11.8,5231.96,930,15.0,15.3,No Prazo,Nenhuma
138,20240116,35,33,24,10,3,5.4,5124.92,930,15.0,19.2,Atrasado,Nenhuma
139,20240116,28,30,20,12,1,48.4,3429.3,590,9.5,8.8,No Prazo,Nenhuma
140,20240116,3,13,29,2,5,4.3,1805.18,410,6.6,6.3,No Prazo,Nenhuma
141,20240116,39,24,10,15,4,16.8,1141.68,210,3.4,4.7,Atrasado,Nenhuma
142,20240117,15,15,15,8,1,43.0,5050.06,930,15.0,16.1,Atrasado,Trânsito/Rota
143,20240117,26,30,29,11,1,11.6,1840.1,410,6.6,6.9,No Prazo,Nenhuma
144,20240117,40,36,19,12,4,12.9,3517.66,590,9.5,9.5,No Prazo,Nenhuma
145,20240117,31,6,3,15,1,50.3,1259.39,210,3.4,3.3,No Prazo,Trânsito/Rota
146,20240117,18,3,12,8,3,43.0,5269.9,930,15.0,15.0,No Prazo,Nenhuma
147,20240117,26,6,23,15,1,10.2,1069.5,210,3.4,3.5,No Prazo,Atraso em Carga/Descarga
148,20240117,33,22,30,12,1,22.7,2469.67,590,9.5,9.9,No Prazo,Nenhuma
149,20240117,17,37,27,16,5,12.1,1623.11,315,5.1,4.7,No Prazo,Nenhuma
150,20240117,24,32,10,2,4,48.9,1859.49,410,6.6,6.9,No Prazo,Problema Documental
151,20240117,1,20,12,13,3,13.5,5934.89,1370,22.1,20.4,No Prazo,Nenhuma
152,20240117,33,6,25,9,1,26.5,9529.87,1960,31.6,33.2,No Prazo,Nenhuma
153,20240117,40,24,14,18,4,10.1,3078.62,550,8.9,9.0,No Prazo,Nenhuma
154,20240118,27,12,26,20,5,41.9,4972.24,930,15.0,14.1,No Prazo,Pane Mecânica
155,20240118,25,35,25,5,5,12.7,7459.58,1370,22.1,21.5,No Prazo,Nenhuma
156,20240118,31,11,7,16,1,39.6,1520.43,315,5.1,6.3,Atrasado,Nenhuma
157,20240118,23,23,20,17,4,4.3,561.51,100,1.6,1.9,Atrasado,Atraso em Carga/Descarga
158,20240118,27,37,18,15,5,56.6,1020.19,210,3.4,3.4,No Prazo,Atraso em Carga/Descarga
159,20240118,1,3,4,17,3,13.0,541.53,100,1.6,1.6,No Prazo,Trânsito/Rota
160,20240118,4,22,11,15,1,4.9,929.23,210,3.4,4.0,Atrasado,Nenhuma
161,20240118,30,23,2,20,4,40.4,5220.1,930,15.0,15.6,No Prazo,Nenhuma
162,20240118,8,11,1,18,1,10.9,2489.47,550,8.9,8.8,No Prazo,Nenhuma
163,20240118,35,31,23,1,3,6.0,1966.55,430,6.9,9.6,Atrasado,Nenhuma
164,20240118,20,37,3,3,5,5.5,2508.45,590,9.5,12.6,Atrasado,Nenhuma
165,20240118,40,24,5,1,4,12.4,2019.64,430,6.9,6.6,No Prazo,Pane Mecânica
166,20240118,2,37,5,1,5,4.9,2361.34,430,6.9,6.6,No Prazo,Nenhuma
167,20240118,1,33,19,13,3,8.7,6890.64,1370,22.1,20.7,No Prazo,Trânsito/Rota
168,20240119,14,12,29,10,5,4.9,4959.76,930,15.0,14.4,No Prazo,Nenhuma
169,20240119,11,7,9,18,3,4.4,2757.61,550,8.9,8.8,No Prazo,Nenhuma
170,20240119,27,34,6,6,5,55.9,4217.13,800,12.9,11.9,No Prazo,Trânsito/Rota
171,20240119,9,9,16,3,2,22.8,2809.41,590,9.5,11.4,Atrasado,Nenhuma
172,20240119,23,10,9,7,4,4.2,1077.29,210,3.4,3.5,No Prazo,Nenhuma
173,20240119,25,28,30,9,5,10.4,9403.2,1960,31.6,41.9,Atrasado,Problema Documental
174,20240119,15,6,5,4,1,45.1,2347.52,550,8.9,9.3,No Prazo,Nenhuma
175,20240119,29,30,19,3,1,9.5,3430.81,590,9.5,9.1,No Prazo,Nenhuma
176,20240119,23,32,28,2,4,5.6,1950.68,410,6.6,6.3,No Prazo,Trânsito/Rota
177,20240119,8,22,19,9,1,8.7,10227.13,1960,31.6,38.9,Atrasado,Nenhuma
178,20240119,22,18,9,16,2,10.9,1833.68,315,5.1,5.2,No Prazo,Nenhuma
179,20240119,33,22,20,16,1,24.8,1386.14,315,5.1,5.0,No Prazo,Problema Documental
180,20240119,19,37,17,7,5,24.9,936.49,210,3.4,3.3,No Prazo,Nenhuma
181,20240120,18,4,20,16,3,43.9,1677.1,315,5.1,5.3,No Prazo,Nenhuma
182,20240120,24,24,6,11,4,57.0,1979.6,410,6.6,7.2,Atrasado,Nenhuma
183,20240120,6,28,28,3,5,10.4,3374.15,590,9.5,10.6,Atrasado,Nenhuma
184,20240120,38,12,25,3,5,52.0,2340.74,590,9.5,11.4,Atrasado,Nenhuma
185,20240120,1,7,15,7,3,11.6,1120.48,210,3.4,4.1,Atrasado,Nenhuma
186,20240121,28,2,17,17,1,37.3,469.57,100,1.6,1.7,No Prazo,Nenhuma
187,20240121,11,33,25,3,3,4.0,3117.5,590,9.5,9.7,No Prazo,Nenhuma
188,20240121,2,12,11,16,5,4.1,1687.37,315,5.1,5.8,Atrasado,Nenhuma
189,20240121,32,24,6,10,4,17.0,4190.23,930,15.0,20.6,Atrasado,Atraso em Carga/Descarga
190,20240122,41,5,14,17,3,32.1,546.95,100,1.6,1.5,No Prazo,Nenhuma
191,20240122,23,32,21,6,4,5.3,4198.11,800,12.9,12.2,No Prazo,Problema Documental
192,20240122,37,6,10,8,1,24.8,4214.6,930,15.0,14.9,No Prazo,Nenhuma
193,20240122,38,12,14,19,5,56.6,1348.65,300,4.8,4.7,No Prazo,Nenhuma
194,20240122,31,11,29,2,1,45.1,1978.1,410,6.6,6.2,No Prazo,Nenhuma
195,20240122,36,27,26,2,1,3.8,2043.04,410,6.6,6.8,No Prazo,Nenhuma
196,20240122,6,12,19,13,5,11.7,7326.9,1370,22.1,22.8,No Prazo,Pane Mecânica
197,20240122,42,28,19,12,5,4.8,2658.7,590,9.5,10.9,Atrasado,Atraso em Carga/Descarga
198,20240122,28,11,16,11,1,46.0,1816.54,410,6.6,6.9,No Prazo,Nenhuma
199,20240122,5,15,13,3,1,31.5,2977.06,590,9.5,9.5,No Prazo,Nenhuma
200,20240123,41,7,13,7,3,31.9,1159.42,210,3.4,4.4,Atrasado,Pane Mecânica
201,20240123,19,28,9,5,5,22.6,5789.94,1370,22.1,22.2,No Prazo,Nenhuma
202,20240123,3,34,3,11,5,4.6,2175.39,410,6.6,6.3,No Prazo,Atraso em Carga/Descarga
203,20240123,36,27,9,13,1,4.8,7848.81,1370,22.1,20.5,No Prazo,Nenhuma
204,20240123,14,29,27,12,5,4.7,2868.28,590,9.5,9.1,No Prazo,Nenhuma
205,20240123,19,29,20,2,5,33.1,2462.14,410,6.6,6.4,No Prazo,Nenhuma
206,20240123,38,37,6,17,5,41.5,485.99,100,1.6,1.5,No Prazo,Nenhuma
207,20240123,5,6,20,10,1,27.9,4770.04,930,15.0,16.8,Atrasado,Nenhuma
208,20240124,6,13,5,15,5,12.4,901.55,210,3.4,4.2,Atrasado,Trânsito/Rota
209,20240124,22,21,3,13,2,11.2,5764.26,1370,22.1,21.0,No Prazo,Nenhuma
210,20240124,16,23,30,1,4,3.7,2006.06,430,6.9,9.1,Atrasado,Nenhuma
211,20240124,22,21,4,10,2,8.4,3840.42,930,15.0,14.5,No Prazo,Nenhuma
212,20240124,5,30,4,8,1,22.9,3909.77,930,15.0,14.4,No Prazo,Nenhuma
213,20240124,40,10,10,2,4,10.9,2174.15,410,6.6,6.6,No Prazo,Nenhuma
214,20240124,25,29,24,10,5,8.9,4677.93,930,15.0,14.5,No Prazo,Nenhuma
215,20240124,6,29,6,13,5,11.8,6339.89,1370,22.1,22.4,No Prazo,Pane Mecânica
216,20240124,11,4,29,6,3,4.8,3630.08,800,12.9,13.4,No Prazo,Nenhuma
217,20240124,30,32,8,3,4,43.2,3211.97,590,9.5,9.4,No Prazo,Nenhuma
218,20240124,22,25,20,6,2,11.1,4118.29,800,12.9,12.4,No Prazo,Nenhuma
219,20240124,33,30,27,10,1,20.7,4517.01,930,15.0,19.6,Atrasado,Nenhuma
220,20240124,18,20,11,16,3,40.3,1761.09,315,5.1,4.8,No Prazo,Nenhuma
221,20240125,10,21,23,2,2,18.0,2193.93,410,6.6,7.4,Atrasado,Nenhuma
222,20240125,16,23,14,13,4,3.7,7768.41,1370,22.1,21.2,No Prazo,Nenhuma
223,20240125,40,24,2,17,4,12.3,500.18,100,1.6,2.2,Atrasado,Nenhuma
224,20240125,31,22,5,16,1,35.6,1328.66,315,5.1,5.1,No Prazo,Nenhuma
225,20240125,10,8,1,17,2,19.6,459.44,100,1.6,1.5,No Prazo,Nenhuma
226,20240125,2,12,7,1,5,5.3,2329.7,430,6.9,6.5,No Prazo,Nenhuma
227,20240125,14,17,16,2,5,4.9,1937.3,410,6.6,6.3,No Prazo,Nenhuma
228,20240125,16,23,23,6,4,5.3,3694.26,800,12.9,17.7,Atrasado,Nenhuma
229,20240125,19,28,15,20,5,24.0,4942.39,930,15.0,20.7,Atrasado,Atraso em Carga/Descarga
230,20240125,20,29,15,8,5,5.5,4221.44,930,15.0,14.5,No Prazo,Nenhuma
231,20240125,23,36,24,10,4,4.2,4511.31,930,15.0,15.6,No Prazo,Nenhuma
232,20240125,41,33,2,6,3,24.2,4246.23,800,12.9,13.0,No Prazo,Nenhuma
233,20240126,28,6,4,18,1,39.5,2309.93,550,8.9,9.0,No Prazo,Nenhuma
234,20240126,29,30,22,18,1,13.8,3164.59,550,8.9,9.2,No Prazo,Nenhuma
235,20240126,21,1,9,1,1,31.8,2327.88,430,6.9,6.4,No Prazo,Nenhuma
236,20240126,35,20,13,16,3,5.2,1459.68,315,5.1,5.5,Atrasado,Atraso em Carga/Descarga
237,20240126,13,33,14,1,3,43.7,2552.06,430,6.9,7.1,No Prazo,Pane Mecânica
238,20240126,31,30,7,18,1,38.4,3147.94,550,8.9,8.2,No Prazo,Nenhuma
239,20240126,40,24,8,16,4,11.8,1816.27,315,5.1,5.1,No Prazo,Nenhuma
240,20240126,5,6,14,18,1,35.4,2386.72,550,8.9,9.1,No Prazo,Nenhuma
241,20240126,18,3,28,12,3,50.9,3210.25,590,9.5,9.2,No Prazo,Nenhuma
242,20240126,13,3,18,8,3,49.6,4185.24,930,15.0,14.6,No Prazo,Nenhuma
243,20240126,23,32,10,15,4,4.4,977.21,210,3.4,4.2,Atrasado,Atraso em Carga/Descarga
244,20240126,4,15,14,7,1,3.6,1006.07,210,3.4,3.3,No Prazo,Nenhuma
245,20240126,34,18,3,5,2,5.0,6189.42,1370,22.1,22.3,No Prazo,Nenhuma
246,20240126,9,18,22,1,2,24.6,2419.02,430,6.9,9.4,Atrasado,Nenhuma
247,20240127,20,13,6,4,5,5.8,2584.85,550,8.9,8.3,No Prazo,Nenhuma
248,20240127,9,18,7,16,2,33.3,1637.65,315,5.1,5.0,No Prazo,Nenhuma
249,20240127,32,32,26,3,4,23.4,2587.58,590,9.5,13.3,Atrasado,Nenhuma
250,20240127,4,6,23,3,1,4.7,3069.23,590,9.5,8.8,No Prazo,Nenhuma
251,20240127,15,11,19,3,1,45.7,2948.95,590,9.5,9.4,No Prazo,Nenhuma
252,20240128,1,3,16,19,3,12.4,1565.62,300,4.8,4.5,No Prazo,Nenhuma
253,20240128,15,27,23,1,1,43.7,2233.02,430,6.9,6.6,No Prazo,Nenhuma
254,20240129,35,33,12,9,3,5.6,10888.01,1960,31.6,30.5,No Prazo,Nenhuma
255,20240129,35,20,14,12,3,6.0,3316.52,590,9.5,10.2,Atrasado,Nenhuma
256,20240129,31,1,29,13,1,51.7,7967.76,1370,22.1,21.5,No Prazo,Problema Documental
257,20240129,40,36,1,20,4,10.5,5564.7,930,15.0,15.1,No Prazo,Nenhuma
258,20240129,4,15,4,10,1,4.9,4885.82,930,15.0,14.8,No Prazo,Nenhuma
259,20240129,38,13,24,16,5,50.8,1349.38,315,5.1,4.9,No Prazo,Nenhuma
260,20240129,11,33,6,1,3,4.9,2264.5,430,6.9,6.7,No Prazo,Nenhuma
261,20240129,40,10,9,19,4,13.6,1578.06,300,4.8,5.9,Atrasado,Nenhuma
262,20240129,24,23,21,14,4,54.3,3191.39,800,12.9,11.9,No Prazo,Nenhuma
263,20240130,20,29,24,8,5,5.7,4038.55,930,15.0,14.9,No Prazo,Nenhuma
264,20240130,12,37,30,16,5,12.7,1437.56,315,5.1,5.3,No Prazo,Nenhuma
265,20240130,15,1,11,2,1,47.4,2353.56,410,6.6,6.8,No Prazo,Problema Documental
266,20240130,41,4,24,9,3,29.9,9338.31,1960,31.6,31.5,No Prazo,Nenhuma
267,20240130,32,24,5,9,4,18.1,10610.0,1960,31.6,30.5,No Prazo,Nenhuma
268,20240130,19,28,6,15,5,27.8,1089.23,210,3.4,3.3,No Prazo,Nenhuma
269,20240130,22,26,2,7,2,11.4,927.76,210,3.4,3.8,Atrasado,Nenhuma
270,20240130,32,24,9,11,4,16.8,1980.98,410,6.6,6.4,No Prazo,Nenhuma
271,20240130,19,29,4,4,5,27.1,2315.81,550,8.9,8.8,No Prazo,Pane Mecânica
272,20240130,19,37,24,6,5,23.0,3883.67,800,12.9,12.0,No Prazo,Pane Mecânica
273,20240130,25,12,29,10,5,11.7,4852.04,930,15.0,15.6,No Prazo,Nenhuma
274,20240130,39,36,11,18,4,26.0,2391.18,550,8.9,12.0,Atrasado,Nenhuma
275,20240130,20,28,14,19,5,5.8,1657.79,300,4.8,4.6,No Prazo,Nenhuma
276,20240130,9,14,24,18,2,26.4,2777.06,550,8.9,8.6,No Prazo,Trânsito/Rota
277,20240131,38,35,24,6,5,36.4,4756.75,800,12.9,18.3,Atrasado,Nenhuma
278,20240131,9,16,16,10,2,28.3,4665.09,930,15.0,14.3,No Prazo,Atraso em Carga/Descarga
279,20240131,17,12,2,6,5,11.6,3769.65,800,12.9,12.5,No Prazo,Pane Mecânica
280,20240131,25,35,28,17,5,11.2,543.55,100,1.6,1.6,No Prazo,Atraso em Carga/Descarga
281,20240131,15,30,1,4,1,48.8,2670.43,550,8.9,10.0,Atrasado,Nenhuma
282,20240131,32,10,5,13,4,21.5,8035.13,1370,22.1,20.5,No Prazo,Nenhuma
