id_custo,id_data,id_filial,categoria_custo,valor
125,20240106,1,Seguro,143.41
126,20240106,1,Outros,101.04
127,20240107,1,Combustível,813.06
128,20240107,1,Manutenção,322.19
129,20240107,1,Pedágio,156.17
130,20240107,1,Motorista (Salário/Diária),308.47
131,20240107,1,Seguro,94.62
132,20240107,1,Outros,57.29
133,20240107,5,Combustível,2879.63
134,20240107,5,Manutenção,1547.08
135,20240107,5,Pedágio,838.26
136,20240107,5,Motorista (Salário/Diária),1403.22
137,20240107,5,Seguro,378.89
138,20240107,5,Outros,203.15
139,20240108,1,Combustível,2612.38
140,20240108,1,Manutenção,1471.38
141,20240108,1,Pedágio,764.32
142,20240108,1,Motorista (Salário/Diária),1217.23
143,20240108,1,Seguro,328.44
144,20240108,1,Outros,179.65
145,20240108,2,Combustível,2434.85
146,20240108,2,Manutenção,1149.54
147,20240108,2,Pedágio,633.05
148,20240108,2,Motorista (Salário/Diária),1073.3
149,20240108,2,Seguro,306.02
150,20240108,2,Outros,182.23
151,20240108,3,Combustível,4818.87
152,20240108,3,Manutenção,1950.64
153,20240108,3,Pedágio,950.52
154,20240108,3,Motorista (Salário/Diária),1652.84
155,20240108,3,Seguro,507.85
156,20240108,3,Outros,285.39
157,20240108,5,Combustível,5629.87
158,20240108,5,Manutenção,2333.61
159,20240108,5,Pedágio,1373.29
160,20240108,5,Motorista (Salário/Diária),1794.6
161,20240108,5,Seguro,576.55
162,20240108,5,Outros,359.06
163,20240109,1,Combustível,4110.85
164,20240109,1,Manutenção,1891.27
165,20240109,1,Pedágio,995.43
166,20240109,1,Motorista (Salário/Diária),1634.23
167,20240109,1,Seguro,492.21
168,20240109,1,Outros,300.5
169,20240109,3,Combustível,2829.43
170,20240109,3,Manutenção,1401.25
171,20240109,3,Pedágio,629.79
172,20240109,3,Motorista (Salário/Diária),1264.78
173,20240109,3,Seguro,330.63
174,20240109,3,Outros,210.3
175,20240109,5,Combustível,6941.63
176,20240109,5,Manutenção,3243.58
177,20240109,5,Pedágio,1628.33
178,20240109,5,Motorista (Salário/Diária),2824.09
179,20240109,5,Seguro,680.09
180,20240109,5,Outros,387.59
181,20240110,1,Combustível,3905.98
182,20240110,1,Manutenção,1417.42
183,20240110,1,Pedágio,741.13
184,20240110,1,Motorista (Salário/Diária),1409.41
185,20240110,1,Seguro,460.17
186,20240110,1,Outros,247.0
187,20240110,2,Combustível,4460.56
188,20240110,2,Manutenção,1663.39
189,20240110,2,Pedágio,893.99
190,20240110,2,Motorista (Salário/Diária),1531.38
191,20240110,2,Seguro,470.78
192,20240110,2,Outros,242.56
193,20240110,4,Combustível,4051.83
194,20240110,4,Manutenção,1405.5
195,20240110,4,Pedágio,736.19
196,20240110,4,Motorista (Salário/Diária),1293.75
197,20240110,4,Seguro,393.99
198,20240110,4,Outros,254.71
199,20240110,5,Combustível,5713.21
200,20240110,5,Manutenção,2535.98
201,20240110,5,Pedágio,1228.83
202,20240110,5,Motorista (Salário/Diária),2136.38
203,20240110,5,Seguro,564.25
204,20240110,5,Outros,302.34
205,20240111,1,Combustível,897.97
206,20240111,1,Manutenção,493.79
207,20240111,1,Pedágio,232.62
208,20240111,1,Motorista (Salário/Diária),395.24
209,20240111,1,Seguro,125.3
210,20240111,1,Outros,58.61
211,20240111,2,Combustível,371.79
212,20240111,2,Manutenção,180.98
213,20240111,2,Pedágio,107.83
214,20240111,2,Motorista (Salário/Diária),183.25
215,20240111,2,Seguro,51.45
216,20240111,2,Outros,30.42
217,20240111,3,Combustível,778.42
218,20240111,3,Manutenção,426.94
219,20240111,3,Pedágio,198.37
220,20240111,3,Motorista (Salário/Diária),319.3
221,20240111,3,Seguro,104.17
222,20240111,3,Outros,67.66
223,20240111,4,Combustível,1005.27
224,20240111,4,Manutenção,436.5
225,20240111,4,Pedágio,216.72
226,20240111,4,Motorista (Salário/Diária),460.11
227,20240111,4,Seguro,118.47
228,20240111,4,Outros,71.33
229,20240111,5,Combustível,3791.15
230,20240111,5,Manutenção,2014.3
231,20240111,5,Pedágio,988.77
232,20240111,5,Motorista (Salário/Diária),1582.02
233,20240111,5,Seguro,400.4
234,20240111,5,Outros,278.18
235,20240112,1,Combustível,3103.85
236,20240112,1,Manutenção,1186.56
237,20240112,1,Pedágio,599.43
238,20240112,1,Motorista (Salário/Diária),1001.83
239,20240112,1,Seguro,298.3
240,20240112,1,Outros,190.56
241,20240112,2,Combustível,1504.05
242,20240112,2,Manutenção,706.47
243,20240112,2,Pedágio,350.7
244,20240112,2,Motorista (Salário/Diária),511.02
245,20240112,2,Seguro,145.41
246,20240112,2,Outros,105.15
247,20240112,3,Combustível,1491.78
248,20240112,3,Manutenção,550.19
249,20240112,3,Pedágio,295.14
250,20240112,3,Motorista (Salário/Diária),513.99
251,20240112,3,Seguro,176.57
252,20240112,3,Outros,82.83
253,20240112,4,Combustível,612.97
254,20240112,4,Manutenção,254.12
255,20240112,4,Pedágio,127.21
256,20240112,4,Motorista (Salário/Diária),213.59
257,20240112,4,Seguro,69.8
258,20240112,4,Outros,49.11
259,20240112,5,Combustível,6678.98
260,20240112,5,Manutenção,2534.96
261,20240112,5,Pedágio,1606.79
262,20240112,5,Motorista (Salário/Diária),2618.26
263,20240112,5,Seguro,640.8
264,20240112,5,Outros,479.57
265,20240113,1,Combustível,1332.05
266,20240113,1,Manutenção,613.08
267,20240113,1,Pedágio,292.5
268,20240113,1,Motorista (Salário/Diária),545.63
269,20240113,1,Seguro,136.11
270,20240113,1,Outros,90.25
271,20240113,4,Combustível,532.93
272,20240113,4,Manutenção,271.03
273,20240113,4,Pedágio,111.87
274,20240113,4,Motorista (Salário/Diária),247.39
275,20240113,4,Seguro,55.88
276,20240113,4,Outros,41.01
277,20240113,5,Combustível,2508.07
278,20240113,5,Manutenção,967.4
279,20240113,5,Pedágio,472.41
280,20240113,5,Motorista (Salário/Diária),845.83
281,20240113,5,Seguro,247.91
282,20240113,5,Outros,181.15
283,20240114,1,Combustível,1385.48
284,20240114,1,Manutenção,581.09
285,20240114,1,Pedágio,302.51
286,20240114,1,Motorista (Salário/Diária),441.42
287,20240114,1,Seguro,148.08
288,20240114,1,Outros,83.34
289,20240114,3,Combustível,1891.93
290,20240114,3,Manutenção,1070.79
291,20240114,3,Pedágio,451.82
292,20240114,3,Motorista (Salário/Diária),722.79
293,20240114,3,Seguro,240.29
294,20240114,3,Outros,145.34
295,20240114,5,Combustível,1644.32
296,20240114,5,Manutenção,597.2
297,20240114,5,Pedágio,307.21
298,20240114,5,Motorista (Salário/Diária),546.37
299,20240114,5,Seguro,143.89
300,20240114,5,Outros,99.68
301,20240115,1,Combustível,1003.01
302,20240115,1,Manutenção,408.29
303,20240115,1,Pedágio,207.07
304,20240115,1,Motorista (Salário/Diária),344.38
305,20240115,1,Seguro,102.02
306,20240115,1,Outros,54.89
307,20240115,2,Combustível,379.44
308,20240115,2,Manutenção,175.37
309,20240115,2,Pedágio,73.58
310,20240115,2,Motorista (Salário/Diária),147.47
311,20240115,2,Seguro,40.48
312,20240115,2,Outros,28.37
313,20240115,3,Combustível,3272.01
314,20240115,3,Manutenção,1552.82
315,20240115,3,Pedágio,763.46
316,20240115,3,Motorista (Salário/Diária),1446.84
317,20240115,3,Seguro,447.46
318,20240115,3,Outros,263.61
319,20240115,4,Combustível,2330.21
320,20240115,4,Manutenção,1039.37
321,20240115,4,Pedágio,510.24
322,20240115,4,Motorista (Salário/Diária),664.79
323,20240115,4,Seguro,244.68
324,20240115,4,Outros,122.42
325,20240115,5,Combustível,2796.75
326,20240115,5,Manutenção,1201.98
327,20240115,5,Pedágio,718.05
328,20240115,5,Motorista (Salário/Diária),1143.73
329,20240115,5,Seguro,306.79
330,20240115,5,Outros,234.83
331,20240116,1,Combustível,7795.0
332,20240116,1,Manutenção,3609.69
333,20240116,1,Pedágio,1656.61
334,20240116,1,Motorista (Salário/Diária),2621.51
335,20240116,1,Seguro,899.18
336,20240116,1,Outros,578.62
337,20240116,3,Combustível,2250.23
338,20240116,3,Manutenção,1073.93
339,20240116,3,Pedágio,516.6
340,20240116,3,Motorista (Salário/Diária),845.69
341,20240116,3,Seguro,269.77
342,20240116,3,Outros,172.73
343,20240116,4,Combustível,411.44
344,20240116,4,Manutenção,168.84
345,20240116,4,Pedágio,105.94
346,20240116,4,Motorista (Salário/Diária),140.58
347,20240116,4,Seguro,51.74
348,20240116,4,Outros,26.28
349,20240116,5,Combustível,2312.93
350,20240116,5,Manutenção,1120.91
351,20240116,5,Pedágio,522.28
352,20240116,5,Motorista (Salário/Diária),767.55
353,20240116,5,Seguro,292.29
354,20240116,5,Outros,163.29
355,20240117,1,Combustível,7027.06
356,20240117,1,Manutenção,3833.7
357,20240117,1,Pedágio,1811.57
358,20240117,1,Motorista (Salário/Diária),3465.3
359,20240117,1,Seguro,856.45
360,20240117,1,Outros,554.01
361,20240117,3,Combustível,3318.09
362,20240117,3,Manutenção,1626.85
363,20240117,3,Pedágio,754.88
364,20240117,3,Motorista (Salário/Diária),1412.87
365,20240117,3,Seguro,383.23
366,20240117,3,Outros,282.0
367,20240117,4,Combustível,3050.78
368,20240117,4,Manutenção,1283.66
369,20240117,4,Pedágio,779.89
370,20240117,4,Motorista (Salário/Diária),1220.14
371,20240117,4,Seguro,307.39
372,20240117,4,Outros,185.46
373,20240117,5,Combustível,579.0
374,20240117,5,Manutenção,226.3
375,20240117,5,Pedágio,126.61
376,20240117,5,Motorista (Salário/Diária),218.89
377,20240117,5,Seguro,56.56
378,20240117,5,Outros,43.67
379,20240118,1,Combustível,1856.15
380,20240118,1,Manutenção,811.58
381,20240118,1,Pedágio,375.82
382,20240118,1,Motorista (Salário/Diária),773.15
383,20240118,1,Seguro,196.24
384,20240118,1,Outros,133.47
385,20240118,3,Combustível,3190.36
386,20240118,3,Manutenção,1381.49
387,20240118,3,Pedágio,746.6
388,20240118,3,Motorista (Salário/Diária),1239.84
389,20240118,3,Seguro,342.04
390,20240118,3,Outros,241.29
391,20240118,4,Combustível,2819.11
392,20240118,4,Manutenção,1215.16
393,20240118,4,Pedágio,698.02
394,20240118,4,Motorista (Salário/Diária),1015.63
395,20240118,4,Seguro,277.8
396,20240118,4,Outros,206.24
397,20240118,5,Combustível,6130.07
398,20240118,5,Manutenção,2602.12
399,20240118,5,Pedágio,1351.83
400,20240118,5,Motorista (Salário/Diária),2269.07
401,20240118,5,Seguro,746.78
402,20240118,5,Outros,382.22
403,20240119,1,Combustível,6710.42
404,20240119,1,Manutenção,2297.29
405,20240119,1,Pedágio,1315.69
406,20240119,1,Motorista (Salário/Diária),2234.16
407,20240119,1,Seguro,568.07
408,20240119,1,Outros,365.93
409,20240119,2,Combustível,1620.44
410,20240119,2,Manutenção,646.73
411,20240119,2,Pedágio,388.04
412,20240119,2,Motorista (Salário/Diária),669.73
413,20240119,2,Seguro,174.39
414,20240119,2,Outros,105.65
415,20240119,3,Combustível,1091.73
416,20240119,3,Manutenção,497.54
417,20240119,3,Pedágio,217.39
418,20240119,3,Motorista (Salário/Diária),430.4
419,20240119,3,Seguro,126.47
420,20240119,3,Outros,76.8
421,20240119,4,Combustível,1161.98
422,20240119,4,Manutenção,460.64
423,20240119,4,Pedágio,293.87
424,20240119,4,Motorista (Salário/Diária),481.0
425,20240119,4,Seguro,118.86
426,20240119,4,Outros,74.0
427,20240119,5,Combustível,6503.17
428,20240119,5,Manutenção,2833.81
429,20240119,5,Pedágio,1657.68
430,20240119,5,Motorista (Salário/Diária),2427.91
431,20240119,5,Seguro,851.91
432,20240119,5,Outros,484.54
433,20240120,3,Combustível,1030.39
434,20240120,3,Manutenção,409.67
435,20240120,3,Pedágio,215.55
436,20240120,3,Motorista (Salário/Diária),370.94
437,20240120,3,Seguro,108.05
438,20240120,3,Outros,73.35
439,20240120,4,Combustível,756.39
440,20240120,4,Manutenção,345.62
441,20240120,4,Pedágio,147.18
442,20240120,4,Motorista (Salário/Diária),253.07
443,20240120,4,Seguro,75.44
444,20240120,4,Outros,41.53
445,20240120,5,Combustível,1882.64
446,20240120,5,Manutenção,1017.3
447,20240120,5,Pedágio,545.45
448,20240120,5,Motorista (Salário/Diária),784.09
449,20240120,5,Seguro,262.49
450,20240120,5,Outros,145.43
451,20240121,1,Combustível,166.17
452,20240121,1,Manutenção,70.24
453,20240121,1,Pedágio,35.05
454,20240121,1,Motorista (Salário/Diária),69.18
455,20240121,1,Seguro,18.0
456,20240121,1,Outros,11.37
457,20240121,3,Combustível,1210.35
458,20240121,3,Manutenção,512.34
459,20240121,3,Pedágio,261.31
460,20240121,3,Motorista (Salário/Diária),427.14
461,20240121,3,Seguro,125.65
462,20240121,3,Outros,75.72
463,20240121,4,Combustível,1688.62
464,20240121,4,Manutenção,774.48
465,20240121,4,Pedágio,388.04
466,20240121,4,Motorista (Salário/Diária),599.24
467,20240121,4,Seguro,162.94
468,20240121,4,Outros,98.34
469,20240121,5,Combustível,662.79
470,20240121,5,Manutenção,265.72
471,20240121,5,Pedágio,117.05
472,20240121,5,Motorista (Salário/Diária),220.32
473,20240121,5,Seguro,68.86
474,20240121,5,Outros,42.65
475,20240122,1,Combustível,4953.84
476,20240122,1,Manutenção,1936.51
477,20240122,1,Pedágio,1064.84
478,20240122,1,Motorista (Salário/Diária),1912.83
479,20240122,1,Seguro,568.07
480,20240122,1,Outros,260.16
481,20240122,3,Combustível,190.36
482,20240122,3,Manutenção,89.08
483,20240122,3,Pedágio,41.29
484,20240122,3,Motorista (Salário/Diária),74.64
485,20240122,3,Seguro,24.07
486,20240122,3,Outros,13.88
487,20240122,4,Combustível,1430.29
488,20240122,4,Manutenção,729.57
489,20240122,4,Pedágio,308.51
490,20240122,4,Motorista (Salário/Diária),667.98
491,20240122,4,Seguro,201.63
492,20240122,4,Outros,114.19
493,20240122,5,Combustível,3505.88
494,20240122,5,Manutenção,1618.61
495,20240122,5,Pedágio,857.73
496,20240122,5,Motorista (Salário/Diária),1716.93
497,20240122,5,Seguro,392.68
498,20240122,5,Outros,262.55
499,20240123,1,Combustível,3998.27
500,20240123,1,Manutenção,2200.33
501,20240123,1,Pedágio,887.28
502,20240123,1,Motorista (Salário/Diária),1725.04
503,20240123,1,Seguro,577.01
504,20240123,1,Outros,348.47
505,20240123,3,Combustível,343.45
506,20240123,3,Manutenção,196.53
507,20240123,3,Pedágio,97.37
508,20240123,3,Motorista (Salário/Diária),166.13
509,20240123,3,Seguro,46.85
510,20240123,3,Outros,27.94
511,20240123,5,Combustível,4007.79
512,20240123,5,Manutenção,2212.79
513,20240123,5,Pedágio,1108.7
514,20240123,5,Motorista (Salário/Diária),1907.44
515,20240123,5,Seguro,573.3
516,20240123,5,Outros,305.44
517,20240124,1,Combustível,3206.81
518,20240124,1,Manutenção,1383.99
519,20240124,1,Pedágio,634.48
520,20240124,1,Motorista (Salário/Diária),994.25
521,20240124,1,Seguro,311.18
522,20240124,1,Outros,178.16
523,20240124,2,Combustível,5672.54
524,20240124,2,Manutenção,2477.57
525,20240124,2,Pedágio,1265.33
526,20240124,2,Motorista (Salário/Diária),1834.98
527,20240124,2,Seguro,502.27
528,20240124,2,Outros,391.75
529,20240124,3,Combustível,2099.88
530,20240124,3,Manutenção,894.33
531,20240124,3,Pedágio,392.24
532,20240124,3,Motorista (Salário/Diária),754.12
533,20240124,3,Seguro,230.32
534,20240124,3,Outros,109.71
535,20240124,4,Combustível,3201.66
536,20240124,4,Manutenção,1325.1
537,20240124,4,Pedágio,549.28
538,20240124,4,Motorista (Salário/Diária),962.2
539,20240124,4,Seguro,324.87
540,20240124,4,Outros,190.35
541,20240124,5,Combustível,4898.72
542,20240124,5,Manutenção,1721.14
543,20240124,5,Pedágio,903.15
544,20240124,5,Motorista (Salário/Diária),1440.23
545,20240124,5,Seguro,424.6
546,20240124,5,Outros,263.64
547,20240125,1,Combustível,511.58
548,20240125,1,Manutenção,180.78
549,20240125,1,Pedágio,111.29
550,20240125,1,Motorista (Salário/Diária),184.89
551,20240125,1,Seguro,50.9
552,20240125,1,Outros,33.14
553,20240125,2,Combustível,1029.54
554,20240125,2,Manutenção,422.66
555,20240125,2,Pedágio,202.8
556,20240125,2,Motorista (Salário/Diária),355.51
557,20240125,2,Seguro,99.51
558,20240125,2,Outros,69.55
559,20240125,3,Combustível,1666.12
560,20240125,3,Manutenção,626.01
561,20240125,3,Pedágio,341.62
562,20240125,3,Motorista (Salário/Diária),535.87
563,20240125,3,Seguro,181.38
564,20240125,3,Outros,107.24
565,20240125,4,Combustível,6654.1
566,20240125,4,Manutenção,2613.29
567,20240125,4,Pedágio,1344.51
568,20240125,4,Motorista (Salário/Diária),2175.58
569,20240125,4,Seguro,777.41
570,20240125,4,Outros,389.68
571,20240125,5,Combustível,4635.07
572,20240125,5,Manutenção,2136.84
573,20240125,5,Pedágio,942.22
574,20240125,5,Motorista (Salário/Diária),1843.43
575,20240125,5,Seguro,506.85
576,20240125,5,Outros,338.79
577,20240126,1,Combustível,5975.7
578,20240126,1,Manutenção,2487.55
579,20240126,1,Pedágio,1330.58
580,20240126,1,Motorista (Salário/Diária),1828.32
581,20240126,1,Seguro,572.92
582,20240126,1,Outros,395.95
583,20240126,2,Combustível,3548.84
584,20240126,2,Manutenção,1551.24
585,20240126,2,Pedágio,715.83
586,20240126,2,Motorista (Salário/Diária),1336.81
587,20240126,2,Seguro,395.63
588,20240126,2,Outros,240.93
589,20240126,3,Combustível,4196.45
590,20240126,3,Manutenção,1484.75
591,20240126,3,Pedágio,796.66
592,20240126,3,Motorista (Salário/Diária),1533.75
593,20240126,3,Seguro,442.2
594,20240126,3,Outros,250.16
595,20240126,4,Combustível,1143.09
596,20240126,4,Manutenção,496.12
597,20240126,4,Pedágio,238.64
598,20240126,4,Motorista (Salário/Diária),385.64
599,20240126,4,Seguro,105.85
600,20240126,4,Outros,62.04
601,20240127,1,Combustível,2493.86
602,20240127,1,Manutenção,900.85
603,20240127,1,Pedágio,564.29
604,20240127,1,Motorista (Salário/Diária),872.63
605,20240127,1,Seguro,210.77
606,20240127,1,Outros,153.05
607,20240127,2,Combustível,484.03
608,20240127,2,Manutenção,254.7
609,20240127,2,Pedágio,136.62
610,20240127,2,Motorista (Salário/Diária),232.59
611,20240127,2,Seguro,57.59
612,20240127,2,Outros,33.07
613,20240127,4,Combustível,825.13
614,20240127,4,Manutenção,389.19
615,20240127,4,Pedágio,187.7
616,20240127,4,Motorista (Salário/Diária),338.72
617,20240127,4,Seguro,98.64
618,20240127,4,Outros,57.42
619,20240127,5,Combustível,848.92
620,20240127,5,Manutenção,353.92
621,20240127,5,Pedágio,193.85
622,20240127,5,Motorista (Salário/Diária),352.6
623,20240127,5,Seguro,109.66
624,20240127,5,Outros,53.42
625,20240128,1,Combustível,686.17
626,20240128,1,Manutenção,376.37
627,20240128,1,Pedágio,188.42
628,20240128,1,Motorista (Salário/Diária),295.04
629,20240128,1,Seguro,82.89
630,20240128,1,Outros,47.6
631,20240128,3,Combustível,599.75
632,20240128,3,Manutenção,219.14
633,20240128,3,Pedágio,112.56
634,20240128,3,Motorista (Salário/Diária),186.13
635,20240128,3,Seguro,63.74
636,20240128,3,Outros,37.4
637,20240129,1,Combustível,4301.88
638,20240129,1,Manutenção,2481.13
639,20240129,1,Pedágio,1143.9
640,20240129,1,Motorista (Salário/Diária),1904.63
641,20240129,1,Seguro,518.49
642,20240129,1,Outros,329.63
643,20240129,3,Combustível,5363.1
644,20240129,3,Manutenção,2547.57
645,20240129,3,Pedágio,1525.52
646,20240129,3,Motorista (Salário/Diária),2107.24
647,20240129,3,Seguro,690.78
648,20240129,3,Outros,392.36
649,20240129,4,Combustível,3398.15
650,20240129,4,Manutenção,1414.85
651,20240129,4,Pedágio,746.17
652,20240129,4,Motorista (Salário/Diária),1474.3
653,20240129,4,Seguro,433.86
654,20240129,4,Outros,217.38
655,20240129,5,Combustível,548.94
656,20240129,5,Manutenção,248.2
657,20240129,5,Pedágio,116.1
658,20240129,5,Motorista (Salário/Diária),175.99
659,20240129,5,Seguro,52.31
660,20240129,5,Outros,38.16
661,20240130,1,Combustível,741.82
662,20240130,1,Manutenção,322.36
663,20240130,1,Pedágio,159.67
664,20240130,1,Motorista (Salário/Diária),265.36
665,20240130,1,Seguro,92.85
666,20240130,1,Outros,49.72
667,20240130,2,Combustível,1400.28
668,20240130,2,Manutenção,663.23
669,20240130,2,Pedágio,269.01
670,20240130,2,Motorista (Salário/Diária),513.47
671,20240130,2,Seguro,149.29
672,20240130,2,Outros,89.03
673,20240130,3,Combustível,3072.72
674,20240130,3,Manutenção,1604.74
675,20240130,3,Pedágio,639.89
676,20240130,3,Motorista (Salário/Diária),1289.38
677,20240130,3,Seguro,328.73
678,20240130,3,Outros,183.24
679,20240130,4,Combustível,4847.86
680,20240130,4,Manutenção,2104.0
681,20240130,4,Pedágio,1138.84
682,20240130,4,Motorista (Salário/Diária),1641.58
683,20240130,4,Seguro,533.84
684,20240130,4,Outros,356.39
685,20240130,5,Combustível,5998.47
686,20240130,5,Manutenção,2909.71
687,20240130,5,Pedágio,1539.2
688,20240130,5,Motorista (Salário/Diária),2441.9
689,20240130,5,Seguro,721.32
690,20240130,5,Outros,470.07
691,20240131,1,Combustível,4748.86
692,20240131,1,Manutenção,2115.61
693,20240131,1,Pedágio,956.63
694,20240131,1,Motorista (Salário/Diária),1637.24
695,20240131,1,Seguro,591.71
696,20240131,1,Outros,312.5
697,20240131,2,Combustível,1867.45
698,20240131,2,Manutenção,892.37
699,20240131,2,Pedágio,442.14
700,20240131,2,Motorista (Salário/Diária),721.85
701,20240131,2,Seguro,218.57
702,20240131,2,Outros,106.69
703,20240131,3,Combustível,3684.25
704,20240131,3,Manutenção,1878.59
705,20240131,3,Pedágio,898.53
706,20240131,3,Motorista (Salário/Diária),1633.76
707,20240131,3,Seguro,370.0
708,20240131,3,Outros,231.22
709,20240131,4,Combustível,3800.74
710,20240131,4,Manutenção,1988.06
711,20240131,4,Pedágio,923.68
712,20240131,4,Motorista (Salário/Diária),1426.16
713,20240131,4,Seguro,503.13
714,20240131,4,Outros,264.53
715,20240131,5,Combustível,3644.41
716,20240131,5,Manutenção,1457.3
717,20240131,5,Pedágio,706.06
718,20240131,5,Motorista (Salário/Diária),1299.66
719,20240131,5,Seguro,422.03
720,20240131,5,Outros,199.87
721,20240201,1,Combustível,10429.21
722,20240201,1,Manutenção,5543.61
723,20240201,1,Pedágio,2543.52
724,20240201,1,Motorista (Salário/Diária),4732.47
725,20240201,1,Seguro,1050.81
726,20240201,1,Outros,716.35
727,20240201,2,Combustível,559.84
728,20240201,2,Manutenção,300.49
729,20240201,2,Pedágio,145.81
730,20240201,2,Motorista (Salário/Diária),272.24
731,20240201,2,Seguro,63.32
732,20240201,2,Outros,46.2
733,20240201,3,Combustível,3107.44
734,20240201,3,Manutenção,1612.48
735,20240201,3,Pedágio,822.17
736,20240201,3,Motorista (Salário/Diária),1372.44
737,20240201,3,Seguro,341.75
738,20240201,3,Outros,197.64
739,20240201,4,Combustível,459.25
740,20240201,4,Manutenção,195.8
